"ISSN
(print or elec)","si inactif
date
dernier 
num",title host,"editor
in
chief","Autres liens
avec UPC",Affiliation,rattachement,main_subject,"nb 
personne",source,"orga. 
scientifique","Publieurs
/Plateformes","looks like
predatory",model_eco,"modele eco
verbeux","APC 
montant
€","date
enregistrement","identification 
type"
2111-5028,,Anthropologie & Santé,TRUE,editorial board,IRD-MERIT (Institut de Recherche pour le Développement/Université de Paris) ; CESSMA - Université Paris 7 ; Université Paris Descartes,Santé ; Sociétés et Humanités,HSS,3,https://journals.openedition.org/anthropologiesante/717,association : Amades,OpenEdition,,Diamond,,,2022-03-03,catalogue openedition
1954-3778,,"Apparence(s), histoire et culture du paraître",FALSE,editorial board,Université Paris-Diderot,Sociétés et Humanités,HSS,1,https://journals.openedition.org/apparences/123,laboratoire : IRHiS UMR 8529,OpenEdition,,Diamond,,,2022-03-04,catalogue openedition
1773-021X,2020,Cahiers de l'URMIS,FALSE,editorial board,Université de Paris,Sociétés et Humanités,HSS,1,https://journals.openedition.org/urmis/2429,laboratoire : Urmis,OpenEdition,,Diamond,,,2022-03-04,catalogue openedition
1953-7476,,Appartenances & Altérités,FALSE,editorial board,Université de Paris,Sociétés et Humanités,HSS,1,https://journals.openedition.org/alterites/,laboratoire : Urmis,OpenEdition,,Diamond,,,,
2107-7266,,Carnets de géographes,FALSE,editorial board,"Université Paris Diderot, Laboratoire CESSMA (UMR 245)",Sociétés et Humanités,HSS,2,https://journals.openedition.org/cdg/269,laboratoire : CESSMA UMR 245,OpenEdition,,Diamond,,,2022-03-01,catalogue openedition
1958-5322,,Cognitextes,TRUE,editorial board,Université Paris 7,Sociétés et Humanités,HSS,2,https://journals.openedition.org/cognitextes/227,association : Association française de linguistique cognitive,OpenEdition,,Diamond,,,2022-03-03,catalogue openedition
1958-9212,,Confins,FALSE,editorial board ; reviewer,Université Paris Diderot,Sociétés et Humanités,HSS,2,https://journals.openedition.org/confins/34,,OpenEdition,,Diamond,,,2022-03-04,catalogue openedition
2275-1742,,Continents Manuscrits,TRUE,editorial board,"université de Paris-Descartes, responsable du groupe « Zobel »",Sociétés et Humanités,HSS,1,https://journals.openedition.org/coma/190,laboratoire : Institut des textes & manuscrits modernes (ITEM),OpenEdition,,Diamond,,,2022-03-01,catalogue openedition
1772-9971,,Développement durable & territoires,FALSE,editorial board,Université Paris Diderot,Sociétés et Humanités,HSS,1,https://journals.openedition.org/developpementdurable/1268,association : Association DD&T,OpenEdition,,Diamond,,,2022-03-04,catalogue openedition
1963-1197,,Echogéo,FALSE,editorial board,Université Paris Diderot,Sociétés et Humanités,HSS,1,https://journals.openedition.org/echogeo/1929,laboratoire : Pôle de recherche pour l'organisation et la diffusion de l'information géographique (CNRS UMR 8586),OpenEdition,,Diamond,,,2022-03-04,catalogue openedition
